id,run_at,candidates_n,consensus_pass_n,entries_n,exits_n,skips_n,notes
1,2026-06-03T00:11:48Z,192,0,0,0,14,
1,2026-06-03T01:39:23Z,480,0,0,0,20,
1,2026-06-03T03:24:34Z,408,0,0,0,20,
1,2026-06-03T05:18:42Z,180,0,0,0,15,
1,2026-06-03T07:17:09Z,120,0,0,0,13,
1,2026-06-03T09:13:26Z,138,0,0,0,19,
1,2026-06-03T11:22:01Z,132,0,0,0,18,
1,2026-06-03T13:02:26Z,132,0,0,0,19,
1,2026-06-03T14:42:53Z,288,0,0,0,19,
1,2026-06-03T16:43:13Z,156,0,0,0,11,
1,2026-06-03T18:33:29Z,312,0,0,0,19,
1,2026-06-03T19:56:19Z,168,0,0,0,12,
1,2026-06-03T21:16:41Z,420,0,0,0,20,
1,2026-06-03T22:27:23Z,276,0,0,0,17,
