id,run_at,candidates_n,consensus_pass_n,entries_n,exits_n,skips_n,notes
1,2026-06-27T00:00:37Z,300,0,0,0,18,
1,2026-06-27T01:13:33Z,480,0,0,0,20,
1,2026-06-27T02:28:16Z,204,0,0,0,12,
1,2026-06-27T03:55:54Z,264,0,0,0,16,
1,2026-06-27T05:27:48Z,264,0,0,0,19,
1,2026-06-27T06:41:43Z,174,0,0,0,17,
1,2026-06-27T08:05:24Z,240,0,0,0,20,
1,2026-06-27T09:06:47Z,240,0,0,0,20,
1,2026-06-27T09:52:34Z,120,0,0,0,14,
1,2026-06-27T10:47:42Z,126,0,0,0,15,
1,2026-06-27T11:40:19Z,240,0,0,0,20,
1,2026-06-27T12:42:30Z,144,0,0,0,17,
1,2026-06-27T13:41:35Z,144,0,0,0,17,
1,2026-06-27T14:41:34Z,420,0,0,0,20,
1,2026-06-27T15:37:02Z,480,0,0,0,20,
1,2026-06-27T16:03:57Z,336,0,0,0,19,
1,2026-06-27T16:34:10Z,480,0,0,0,20,
1,2026-06-27T17:00:45Z,480,0,0,0,20,
1,2026-06-27T17:32:12Z,312,0,0,0,18,
1,2026-06-27T17:57:28Z,480,0,0,0,20,
