id,run_at,candidates_n,consensus_pass_n,entries_n,exits_n,skips_n,notes
1,2026-06-01T01:24:50Z,252,0,0,0,17,
1,2026-06-01T02:29:31Z,480,0,0,0,20,
1,2026-06-01T03:57:05Z,156,0,0,0,11,
1,2026-06-01T05:50:16Z,168,0,0,0,14,
1,2026-06-01T08:10:26Z,240,0,0,0,20,
1,2026-06-01T10:26:36Z,180,0,0,0,20,
1,2026-06-01T12:29:22Z,240,0,0,0,20,
1,2026-06-01T14:40:24Z,264,0,0,0,18,
1,2026-06-01T16:59:26Z,480,0,0,0,20,
1,2026-06-01T19:01:22Z,240,0,0,0,17,
1,2026-06-01T20:35:18Z,240,0,0,0,17,
1,2026-06-01T21:47:51Z,480,0,0,0,20,
1,2026-06-01T22:50:12Z,252,0,0,0,18,
1,2026-06-01T23:40:02Z,264,0,0,0,18,
