id,run_at,candidates_n,consensus_pass_n,entries_n,exits_n,skips_n,notes
1,2026-08-18T01:45:31Z,480,0,0,0,20,
1,2026-08-18T03:03:51Z,480,0,0,0,20,
1,2026-08-18T03:53:06Z,312,0,0,0,16,
1,2026-08-18T04:44:54Z,300,0,0,0,16,
1,2026-08-18T05:37:30Z,408,0,0,0,20,
1,2026-08-18T06:58:09Z,312,0,0,0,20,
1,2026-08-18T07:47:50Z,282,0,0,0,20,
1,2026-08-18T08:48:37Z,240,0,0,0,20,
1,2026-08-18T09:42:27Z,240,0,0,0,20,
1,2026-08-18T10:38:47Z,240,0,0,0,20,
1,2026-08-18T11:34:18Z,240,0,0,0,20,
1,2026-08-18T11:55:57Z,240,0,0,0,20,
1,2026-08-18T13:02:02Z,150,0,0,0,16,
1,2026-08-18T13:51:01Z,144,0,0,0,16,
1,2026-08-18T14:44:01Z,324,0,0,0,18,
1,2026-08-18T15:41:00Z,480,0,0,0,20,
1,2026-08-18T16:41:45Z,396,0,0,0,20,
1,2026-08-18T17:35:59Z,288,0,0,0,16,
1,2026-08-18T17:58:14Z,288,0,0,0,16,
1,2026-08-18T18:51:09Z,480,0,0,0,20,
1,2026-08-18T19:35:02Z,480,0,0,0,20,
1,2026-08-18T19:52:56Z,324,0,0,0,18,
1,2026-08-18T20:33:51Z,480,0,0,0,20,
1,2026-08-18T20:54:44Z,480,0,0,0,20,
