id,run_at,candidates_n,consensus_pass_n,entries_n,exits_n,skips_n,notes
1,2026-08-08T00:02:31Z,336,0,0,0,19,
1,2026-08-08T02:10:34Z,480,0,0,0,20,
1,2026-08-08T03:53:10Z,264,0,0,0,16,
1,2026-08-08T05:06:34Z,408,0,0,0,20,
1,2026-08-08T05:53:03Z,228,0,0,0,17,
1,2026-08-08T07:07:20Z,150,0,0,0,15,
1,2026-08-08T07:56:18Z,288,0,0,0,20,
1,2026-08-08T08:53:11Z,132,0,0,0,16,
1,2026-08-08T09:48:39Z,240,0,0,0,20,
1,2026-08-08T10:44:01Z,108,0,0,0,13,
1,2026-08-08T11:37:00Z,216,0,0,0,20,
1,2026-08-08T11:59:12Z,240,0,0,0,20,
1,2026-08-08T13:05:56Z,126,0,0,0,15,
1,2026-08-08T13:53:12Z,120,0,0,0,15,
1,2026-08-08T14:41:22Z,480,0,0,0,20,
1,2026-08-08T15:37:56Z,480,0,0,0,20,
1,2026-08-08T16:46:12Z,480,0,0,0,20,
1,2026-08-08T17:39:12Z,264,0,0,0,16,
1,2026-08-08T18:51:32Z,480,0,0,0,20,
1,2026-08-08T19:38:06Z,480,0,0,0,20,
1,2026-08-08T20:40:32Z,240,0,0,0,15,
1,2026-08-08T21:39:31Z,288,0,0,0,18,
1,2026-08-08T22:39:04Z,264,0,0,0,16,
