id,run_at,candidates_n,consensus_pass_n,entries_n,exits_n,skips_n,notes
1,2026-06-30T01:14:27Z,480,0,0,0,20,
1,2026-06-30T02:28:35Z,288,0,0,0,17,
1,2026-06-30T03:56:08Z,204,0,0,0,12,
1,2026-06-30T05:34:36Z,408,0,0,0,20,
1,2026-06-30T06:59:17Z,312,0,0,0,20,
1,2026-06-30T08:19:54Z,240,0,0,0,20,
1,2026-06-30T09:55:19Z,102,0,0,0,12,
1,2026-06-30T11:11:54Z,108,0,0,0,13,
1,2026-06-30T12:22:12Z,210,0,0,0,20,
1,2026-06-30T13:17:35Z,240,0,0,0,20,
1,2026-06-30T14:26:25Z,276,0,0,0,17,
1,2026-06-30T15:26:59Z,480,0,0,0,20,
1,2026-06-30T16:25:36Z,480,0,0,0,20,
1,2026-06-30T17:17:19Z,324,0,0,0,18,
1,2026-06-30T18:16:34Z,480,0,0,0,20,
1,2026-06-30T19:13:46Z,264,0,0,0,16,
1,2026-06-30T20:19:11Z,312,0,0,0,18,
