id,run_at,candidates_n,consensus_pass_n,entries_n,exits_n,skips_n,notes
1,2026-06-04T00:12:27Z,168,0,0,0,12,
1,2026-06-04T01:40:17Z,204,0,0,0,15,
1,2026-06-04T03:24:35Z,156,0,0,0,11,
1,2026-06-04T05:15:01Z,192,0,0,0,16,
1,2026-06-04T07:09:13Z,0,0,0,0,0,
1,2026-06-04T08:55:51Z,306,0,0,0,20,
1,2026-06-04T10:26:20Z,222,0,0,0,20,
1,2026-06-04T11:37:20Z,240,0,0,0,20,
1,2026-06-04T13:25:50Z,84,0,0,0,12,
1,2026-06-04T14:29:38Z,252,0,0,0,18,
1,2026-06-04T15:47:58Z,288,0,0,0,19,
1,2026-06-04T17:14:51Z,204,0,0,0,14,
1,2026-06-04T18:25:31Z,480,0,0,0,20,
1,2026-06-04T19:26:17Z,480,0,0,0,20,
1,2026-06-04T20:21:59Z,216,0,0,0,15,
1,2026-06-04T21:11:55Z,156,0,0,0,11,
