id,run_at,candidates_n,consensus_pass_n,entries_n,exits_n,skips_n,notes
1,2026-08-22T01:44:33Z,480,0,0,0,20,
1,2026-08-22T03:02:25Z,480,0,0,0,20,
1,2026-08-22T03:49:52Z,480,0,0,0,20,
1,2026-08-22T04:42:31Z,396,0,0,0,20,
1,2026-08-22T05:35:55Z,408,0,0,0,20,
1,2026-08-22T05:57:51Z,408,0,0,0,20,
1,2026-08-22T06:54:01Z,204,0,0,0,17,
1,2026-08-22T07:38:46Z,288,0,0,0,20,
1,2026-08-22T08:40:47Z,216,0,0,0,20,
1,2026-08-22T09:36:27Z,240,0,0,0,20,
1,2026-08-22T09:55:24Z,240,0,0,0,20,
1,2026-08-22T10:33:28Z,144,0,0,0,16,
