id,run_at,candidates_n,consensus_pass_n,entries_n,exits_n,skips_n,notes
1,2026-08-02T01:09:44Z,348,0,0,0,20,
1,2026-08-02T04:58:29Z,240,0,0,0,15,
1,2026-08-02T07:37:57Z,204,0,0,0,20,
1,2026-08-02T10:05:21Z,240,0,0,0,20,
1,2026-08-02T11:31:12Z,240,0,0,0,20,
1,2026-08-02T12:38:08Z,132,0,0,0,16,
1,2026-08-02T14:41:20Z,480,0,0,0,20,
1,2026-08-02T16:09:08Z,276,0,0,0,16,
1,2026-08-02T17:37:36Z,252,0,0,0,15,
1,2026-08-02T19:23:03Z,480,0,0,0,20,
1,2026-08-02T20:30:50Z,480,0,0,0,20,
1,2026-08-02T21:28:19Z,480,0,0,0,20,
