id,run_at,candidates_n,consensus_pass_n,entries_n,exits_n,skips_n,notes
1,2026-05-29T01:18:42Z,480,0,0,0,20,
1,2026-05-29T02:28:30Z,156,0,0,0,11,
1,2026-05-29T03:56:18Z,156,0,0,0,11,
1,2026-05-29T05:38:43Z,198,0,0,0,17,
1,2026-05-29T07:38:04Z,288,0,0,0,20,
1,2026-05-29T09:26:01Z,132,0,0,0,19,
1,2026-05-29T10:53:16Z,132,0,0,0,18,
1,2026-05-29T12:13:02Z,138,0,0,0,19,
1,2026-05-29T13:42:36Z,240,0,0,0,20,
1,2026-05-29T15:21:59Z,480,0,0,0,20,
1,2026-05-29T16:52:45Z,372,0,0,0,20,
1,2026-05-29T18:12:25Z,240,0,0,0,17,
1,2026-05-29T19:28:28Z,204,0,0,0,15,
1,2026-05-29T20:27:03Z,264,0,0,0,18,
1,2026-05-29T21:20:58Z,360,0,0,0,20,
1,2026-05-29T22:12:13Z,252,0,0,0,18,
1,2026-05-29T23:00:18Z,240,0,0,0,17,
