id,run_at,candidates_n,consensus_pass_n,entries_n,exits_n,skips_n,notes
1,2026-06-19T00:10:51Z,240,0,0,0,17,
1,2026-06-19T01:41:39Z,480,0,0,0,20,
1,2026-06-19T03:25:01Z,168,0,0,0,12,
1,2026-06-19T05:21:40Z,408,0,0,0,20,
1,2026-06-19T07:22:51Z,288,0,0,0,20,
1,2026-06-19T09:16:45Z,120,0,0,0,17,
1,2026-06-19T11:06:46Z,84,0,0,0,12,
1,2026-06-19T12:32:33Z,126,0,0,0,18,
1,2026-06-19T13:49:40Z,120,0,0,0,16,
1,2026-06-19T15:15:45Z,168,0,0,0,12,
1,2026-06-19T16:28:27Z,168,0,0,0,12,
1,2026-06-19T17:24:32Z,480,0,0,0,20,
1,2026-06-19T18:13:52Z,156,0,0,0,11,
1,2026-06-19T19:13:12Z,240,0,0,0,17,
1,2026-06-19T20:12:57Z,252,0,0,0,17,
1,2026-06-19T20:58:55Z,384,0,0,0,20,
1,2026-06-19T21:34:29Z,264,0,0,0,18,
