id,run_at,candidates_n,consensus_pass_n,entries_n,exits_n,skips_n,notes
1,2026-08-25T01:46:22Z,480,0,0,0,20,
1,2026-08-25T03:07:37Z,300,0,0,0,17,
1,2026-08-25T04:18:40Z,384,0,0,0,20,
1,2026-08-25T05:07:54Z,408,0,0,0,20,
1,2026-08-25T06:00:15Z,282,0,0,0,20,
1,2026-08-25T07:02:13Z,288,0,0,0,20,
1,2026-08-25T07:52:06Z,282,0,0,0,20,
1,2026-08-25T08:53:36Z,138,0,0,0,15,
1,2026-08-25T09:45:55Z,240,0,0,0,20,
1,2026-08-25T10:42:34Z,192,0,0,0,19,
1,2026-08-25T11:36:32Z,240,0,0,0,20,
1,2026-08-25T11:59:15Z,162,0,0,0,18,
1,2026-08-25T13:05:19Z,240,0,0,0,20,
1,2026-08-25T13:58:32Z,150,0,0,0,17,
1,2026-08-25T14:55:53Z,150,0,0,0,16,
1,2026-08-25T15:53:16Z,240,0,0,0,20,
1,2026-08-25T16:48:59Z,240,0,0,0,20,
1,2026-08-25T17:39:20Z,240,0,0,0,20,
1,2026-08-25T18:51:27Z,138,0,0,0,15,
1,2026-08-25T19:41:11Z,192,0,0,0,20,
1,2026-08-25T20:39:17Z,186,0,0,0,19,
1,2026-08-25T21:38:58Z,144,0,0,0,16,
1,2026-08-25T21:57:25Z,240,0,0,0,20,
1,2026-08-25T22:37:28Z,150,0,0,0,15,
1,2026-08-25T23:00:03Z,240,0,0,0,20,
1,2026-08-25T23:32:44Z,240,0,0,0,20,
1,2026-08-25T23:52:59Z,240,0,0,0,20,
