id,run_at,candidates_n,consensus_pass_n,entries_n,exits_n,skips_n,notes
1,2026-06-16T00:11:53Z,264,0,0,0,19,
1,2026-06-16T01:38:54Z,480,0,0,0,20,
1,2026-06-16T03:23:35Z,480,0,0,0,20,
1,2026-06-16T05:24:49Z,192,0,0,0,17,
1,2026-06-16T07:27:19Z,288,0,0,0,20,
1,2026-06-16T09:27:25Z,138,0,0,0,18,
1,2026-06-16T11:25:48Z,174,0,0,0,20,
1,2026-06-16T13:12:17Z,138,0,0,0,18,
1,2026-06-16T15:22:29Z,228,0,0,0,16,
1,2026-06-16T17:20:34Z,480,0,0,0,20,
1,2026-06-16T18:56:03Z,252,0,0,0,18,
1,2026-06-16T20:12:29Z,204,0,0,0,14,
1,2026-06-16T21:35:19Z,480,0,0,0,20,
