id,run_at,candidates_n,consensus_pass_n,entries_n,exits_n,skips_n,notes
1,2026-06-29T01:20:22Z,480,0,0,0,20,
1,2026-06-29T02:28:47Z,480,0,0,0,20,
1,2026-06-29T03:56:44Z,288,0,0,0,18,
1,2026-06-29T05:47:50Z,276,0,0,0,19,
1,2026-06-29T08:05:50Z,150,0,0,0,18,
1,2026-06-29T09:48:58Z,240,0,0,0,20,
1,2026-06-29T11:48:54Z,144,0,0,0,17,
1,2026-06-29T13:44:51Z,168,0,0,0,20,
1,2026-06-29T15:19:23Z,276,0,0,0,16,
1,2026-06-29T16:43:58Z,480,0,0,0,20,
1,2026-06-29T17:57:34Z,264,0,0,0,16,
1,2026-06-29T18:53:04Z,300,0,0,0,19,
1,2026-06-29T19:43:25Z,432,0,0,0,20,
1,2026-06-29T20:44:46Z,480,0,0,0,20,
1,2026-06-29T21:40:06Z,312,0,0,0,19,
1,2026-06-29T22:32:43Z,336,0,0,0,18,
1,2026-06-29T22:57:09Z,480,0,0,0,20,
1,2026-06-29T23:29:49Z,276,0,0,0,16,
1,2026-06-29T23:57:49Z,480,0,0,0,20,
