id,run_at,icao,forecast_date,high_f,low_f
1,2026-06-06T00:02:54Z,KATL,2026-06-05,85.5,60.5
2,2026-06-06T00:02:54Z,KATL,2026-06-06,88.9,64.0
3,2026-06-06T00:02:54Z,KATL,2026-06-07,80.2,69.4
4,2026-06-06T00:02:54Z,KATL,2026-06-08,75.6,69.9
5,2026-06-06T00:02:54Z,KATL,2026-06-09,78.7,68.4
6,2026-06-06T00:02:54Z,KATL,2026-06-10,87.5,68.2
7,2026-06-06T00:02:54Z,KATL,2026-06-11,87.1,70.7
8,2026-06-06T00:02:54Z,KAUS,2026-06-05,84.8,74.4
9,2026-06-06T00:02:54Z,KAUS,2026-06-06,85.6,74.1
10,2026-06-06T00:02:54Z,KAUS,2026-06-07,88.0,75.9
11,2026-06-06T00:02:54Z,KAUS,2026-06-08,91.4,73.0
12,2026-06-06T00:02:54Z,KAUS,2026-06-09,93.6,71.1
13,2026-06-06T00:02:54Z,KAUS,2026-06-10,86.2,71.1
14,2026-06-06T00:02:54Z,KAUS,2026-06-11,92.6,72.1
113,2026-06-06T00:02:54Z,KDCA,2026-06-05,92.6,60.6
114,2026-06-06T00:02:54Z,KDCA,2026-06-06,96.0,68.3
115,2026-06-06T00:02:54Z,KDCA,2026-06-07,91.9,73.7
116,2026-06-06T00:02:54Z,KDCA,2026-06-08,85.9,64.3
117,2026-06-06T00:02:54Z,KDCA,2026-06-09,87.0,59.8
118,2026-06-06T00:02:54Z,KDCA,2026-06-10,70.3,64.9
119,2026-06-06T00:02:54Z,KDCA,2026-06-11,82.5,67.9
29,2026-06-06T00:02:54Z,KDEN,2026-06-05,86.4,54.7
30,2026-06-06T00:02:54Z,KDEN,2026-06-06,93.1,64.8
31,2026-06-06T00:02:54Z,KDEN,2026-06-07,91.7,66.6
32,2026-06-06T00:02:54Z,KDEN,2026-06-08,90.6,61.4
33,2026-06-06T00:02:54Z,KDEN,2026-06-09,96.0,64.0
34,2026-06-06T00:02:54Z,KDEN,2026-06-10,94.6,55.5
35,2026-06-06T00:02:54Z,KDEN,2026-06-11,87.9,54.1
22,2026-06-06T00:02:54Z,KDFW,2026-06-05,82.8,74.9
23,2026-06-06T00:02:54Z,KDFW,2026-06-06,82.5,74.6
24,2026-06-06T00:02:54Z,KDFW,2026-06-07,92.0,70.1
25,2026-06-06T00:02:54Z,KDFW,2026-06-08,93.5,75.5
26,2026-06-06T00:02:54Z,KDFW,2026-06-09,94.4,75.8
27,2026-06-06T00:02:54Z,KDFW,2026-06-10,95.8,75.8
28,2026-06-06T00:02:54Z,KDFW,2026-06-11,96.8,76.5
36,2026-06-06T00:02:54Z,KLAS,2026-06-05,104.1,78.9
37,2026-06-06T00:02:54Z,KLAS,2026-06-06,100.0,76.1
38,2026-06-06T00:02:54Z,KLAS,2026-06-07,96.7,74.3
39,2026-06-06T00:02:54Z,KLAS,2026-06-08,96.0,76.3
40,2026-06-06T00:02:54Z,KLAS,2026-06-09,96.1,74.2
41,2026-06-06T00:02:54Z,KLAS,2026-06-10,99.2,77.4
