id,run_at,icao,target_date,ticker,label,bucket_low,bucket_high,yes_bid,yes_ask,no_bid,no_ask,volume,market_type
1,2026-09-19T00:09:14Z,KATL,2026-09-19,KXHIGHTATL-26SEP19-T99,100° or above,100.0,999.0,0,1,99,100,238.02,high
2,2026-09-19T00:09:14Z,KATL,2026-09-19,KXHIGHTATL-26SEP19-T92,91° or below,-999.0,91.0,15,16,84,85,994.84,high
3,2026-09-19T00:09:14Z,KATL,2026-09-19,KXHIGHTATL-26SEP19-B98.5,98° to 99°,98.0,99.0,1,2,98,99,319.12,high
4,2026-09-19T00:09:14Z,KATL,2026-09-19,KXHIGHTATL-26SEP19-B96.5,96° to 97°,96.0,97.0,11,12,88,89,878.44,high
5,2026-09-19T00:09:14Z,KATL,2026-09-19,KXHIGHTATL-26SEP19-B94.5,94° to 95°,94.0,95.0,32,33,67,68,913.39,high
6,2026-09-19T00:09:14Z,KATL,2026-09-19,KXHIGHTATL-26SEP19-B92.5,92° to 93°,92.0,93.0,36,38,62,64,927.15,high
7,2026-09-19T00:09:14Z,KATL,2026-09-19,KXHIGHTATL-26SEP18-T93,92° or below,-999.0,92.0,0,1,99,100,4658.27,high
8,2026-09-19T00:09:14Z,KATL,2026-09-19,KXHIGHTATL-26SEP18-T100,101° or above,101.0,999.0,0,1,99,100,757.77,high
9,2026-09-19T00:09:14Z,KATL,2026-09-19,KXHIGHTATL-26SEP18-B99.5,99° to 100°,99.0,100.0,0,1,99,100,1537.7,high
10,2026-09-19T00:09:14Z,KATL,2026-09-19,KXHIGHTATL-26SEP18-B97.5,97° to 98°,97.0,98.0,0,1,99,100,4699.39,high
11,2026-09-19T00:09:14Z,KATL,2026-09-19,KXHIGHTATL-26SEP18-B95.5,95° to 96°,95.0,96.0,0,1,99,100,6714.54,high
12,2026-09-19T00:09:14Z,KATL,2026-09-19,KXHIGHTATL-26SEP18-B93.5,93° to 94°,93.0,94.0,99,100,0,1,11493.42,high
13,2026-09-19T00:09:14Z,KATL,2026-09-19,KXLOWTATL-26SEP19-T75,76° or above,76.0,999.0,3,5,95,97,60.11,low
14,2026-09-19T00:09:14Z,KATL,2026-09-19,KXLOWTATL-26SEP19-T68,67° or below,-999.0,67.0,0,2,98,100,67.0,low
