id,run_at,icao,target_date,ticker,label,bucket_low,bucket_high,yes_bid,yes_ask,no_bid,no_ask,volume,market_type
1,2026-07-06T04:22:09Z,KATL,2026-07-06,KXHIGHTATL-26JUL06-T96,97° or above,97.0,999.0,0,1,99,100,2698.12,high
2,2026-07-06T04:22:09Z,KATL,2026-07-06,KXHIGHTATL-26JUL06-T89,88° or below,-999.0,88.0,43,44,56,57,2236.36,high
3,2026-07-06T04:22:09Z,KATL,2026-07-06,KXHIGHTATL-26JUL06-B95.5,95° to 96°,95.0,96.0,1,2,98,99,547.08,high
4,2026-07-06T04:22:09Z,KATL,2026-07-06,KXHIGHTATL-26JUL06-B93.5,93° to 94°,93.0,94.0,5,6,94,95,270.08,high
5,2026-07-06T04:22:09Z,KATL,2026-07-06,KXHIGHTATL-26JUL06-B91.5,91° to 92°,91.0,92.0,23,25,75,77,454.47,high
6,2026-07-06T04:22:09Z,KATL,2026-07-06,KXHIGHTATL-26JUL06-B89.5,89° to 90°,89.0,90.0,29,30,70,71,311.61,high
7,2026-07-06T04:22:09Z,KATL,2026-07-06,KXHIGHTATL-26JUL05-T98,99° or above,99.0,999.0,0,1,99,100,531.24,high
8,2026-07-06T04:22:09Z,KATL,2026-07-06,KXHIGHTATL-26JUL05-T91,90° or below,-999.0,90.0,0,1,99,100,8293.25,high
9,2026-07-06T04:22:09Z,KATL,2026-07-06,KXHIGHTATL-26JUL05-B97.5,97° to 98°,97.0,98.0,0,1,99,100,2082.32,high
10,2026-07-06T04:22:09Z,KATL,2026-07-06,KXHIGHTATL-26JUL05-B95.5,95° to 96°,95.0,96.0,0,1,99,100,10568.07,high
11,2026-07-06T04:22:09Z,KATL,2026-07-06,KXHIGHTATL-26JUL05-B93.5,93° to 94°,93.0,94.0,99,100,0,1,14762.17,high
12,2026-07-06T04:22:09Z,KATL,2026-07-06,KXHIGHTATL-26JUL05-B91.5,91° to 92°,91.0,92.0,0,1,99,100,62692.09,high
13,2026-07-06T04:22:09Z,KATL,2026-07-06,KXLOWTATL-26JUL06-T76,77° or above,77.0,999.0,2,6,94,98,1881.7,low
14,2026-07-06T04:22:09Z,KATL,2026-07-06,KXLOWTATL-26JUL06-T69,68° or below,-999.0,68.0,2,7,93,98,262.0,low
15,2026-07-06T04:22:09Z,KATL,2026-07-06,KXLOWTATL-26JUL06-B75.5,75° to 76°,75.0,76.0,3,5,95,97,1228.0,low
16,2026-07-06T04:22:09Z,KATL,2026-07-06,KXLOWTATL-26JUL06-B73.5,73° to 74°,73.0,74.0,42,45,55,58,334.17,low
17,2026-07-06T04:22:09Z,KATL,2026-07-06,KXLOWTATL-26JUL06-B71.5,71° to 72°,71.0,72.0,38,42,58,62,344.65,low
18,2026-07-06T04:22:09Z,KATL,2026-07-06,KXLOWTATL-26JUL06-B69.5,69° to 70°,69.0,70.0,5,7,93,95,107.0,low
19,2026-07-06T04:22:09Z,KATL,2026-07-06,KXLOWTATL-26JUL05-T78,79° or above,79.0,999.0,0,1,99,100,280.42,low
20,2026-07-06T04:22:09Z,KATL,2026-07-06,KXLOWTATL-26JUL05-T71,70° or below,-999.0,70.0,4,5,95,96,4087.11,low
21,2026-07-06T04:22:09Z,KATL,2026-07-06,KXLOWTATL-26JUL05-B77.5,77° to 78°,77.0,78.0,0,1,99,100,2077.97,low
22,2026-07-06T04:22:09Z,KATL,2026-07-06,KXLOWTATL-26JUL05-B75.5,75° to 76°,75.0,76.0,0,1,99,100,3834.01,low
23,2026-07-06T04:22:09Z,KATL,2026-07-06,KXLOWTATL-26JUL05-B73.5,73° to 74°,73.0,74.0,0,1,99,100,4880.67,low
24,2026-07-06T04:22:09Z,KATL,2026-07-06,KXLOWTATL-26JUL05-B71.5,71° to 72°,71.0,72.0,93,95,5,7,4297.02,low
25,2026-07-06T04:22:09Z,KAUS,2026-07-06,KXHIGHAUS-26JUL06-T94,93° or below,-999.0,93.0,23,24,76,77,4612.78,high
26,2026-07-06T04:22:09Z,KAUS,2026-07-06,KXHIGHAUS-26JUL06-T101,102° or above,102.0,999.0,0,1,99,100,1298.66,high
27,2026-07-06T04:22:09Z,KAUS,2026-07-06,KXHIGHAUS-26JUL06-B98.5,98° to 99°,98.0,99.0,8,10,90,92,837.07,high
28,2026-07-06T04:22:09Z,KAUS,2026-07-06,KXHIGHAUS-26JUL06-B96.5,96° to 97°,96.0,97.0,46,48,52,54,1978.89,high
29,2026-07-06T04:22:09Z,KAUS,2026-07-06,KXHIGHAUS-26JUL06-B94.5,94° to 95°,94.0,95.0,22,24,76,78,1344.85,high
30,2026-07-06T04:22:09Z,KAUS,2026-07-06,KXHIGHAUS-26JUL06-B100.5,100° to 101°,100.0,101.0,1,2,98,99,338.01,high
31,2026-07-06T04:22:09Z,KAUS,2026-07-06,KXHIGHAUS-26JUL05-T94,93° or below,-999.0,93.0,0,1,99,100,1103.01,high
32,2026-07-06T04:22:09Z,KAUS,2026-07-06,KXHIGHAUS-26JUL05-T101,102° or above,102.0,999.0,0,1,99,100,1971.0,high
33,2026-07-06T04:22:09Z,KAUS,2026-07-06,KXHIGHAUS-26JUL05-B98.5,98° to 99°,98.0,99.0,0,1,99,100,10421.06,high
34,2026-07-06T04:22:09Z,KAUS,2026-07-06,KXHIGHAUS-26JUL05-B96.5,96° to 97°,96.0,97.0,99,100,0,1,7574.62,high
35,2026-07-06T04:22:09Z,KAUS,2026-07-06,KXHIGHAUS-26JUL05-B94.5,94° to 95°,94.0,95.0,0,1,99,100,5344.01,high
36,2026-07-06T04:22:09Z,KAUS,2026-07-06,KXHIGHAUS-26JUL05-B100.5,100° to 101°,100.0,101.0,0,1,99,100,5976.11,high
37,2026-07-06T04:22:09Z,KAUS,2026-07-06,KXLOWTAUS-26JUL06-T79,80° or above,80.0,999.0,2,5,95,98,247.35,low
38,2026-07-06T04:22:09Z,KAUS,2026-07-06,KXLOWTAUS-26JUL06-T72,71° or below,-999.0,71.0,11,13,87,89,1151.47,low
39,2026-07-06T04:22:09Z,KAUS,2026-07-06,KXLOWTAUS-26JUL06-B78.5,78° to 79°,78.0,79.0,6,13,87,94,529.43,low
40,2026-07-06T04:22:09Z,KAUS,2026-07-06,KXLOWTAUS-26JUL06-B76.5,76° to 77°,76.0,77.0,26,33,67,74,1265.86,low
41,2026-07-06T04:22:09Z,KAUS,2026-07-06,KXLOWTAUS-26JUL06-B74.5,74° to 75°,74.0,75.0,34,42,58,66,777.58,low
42,2026-07-06T04:22:09Z,KAUS,2026-07-06,KXLOWTAUS-26JUL06-B72.5,72° to 73°,72.0,73.0,8,9,91,92,467.68,low
43,2026-07-06T04:22:09Z,KAUS,2026-07-06,KXLOWTAUS-26JUL05-T78,79° or above,79.0,999.0,0,1,99,100,969.74,low
44,2026-07-06T04:22:09Z,KAUS,2026-07-06,KXLOWTAUS-26JUL05-T71,70° or below,-999.0,70.0,0,1,99,100,1155.23,low
45,2026-07-06T04:22:09Z,KAUS,2026-07-06,KXLOWTAUS-26JUL05-B77.5,77° to 78°,77.0,78.0,0,1,99,100,1685.29,low
