id,run_at,icao,forecast_date,kind,n_members,mean_f,sd_f,p10_f,p50_f,p90_f,min_f,max_f
1,2026-09-06T00:49:02Z,KATL,2026-09-05,high,30,100.37,0.84,99.27,100.35,101.31,98.2,102.0
2,2026-09-06T00:49:02Z,KATL,2026-09-05,low,30,77.12,0.31,76.8,77.1,77.5,76.4,77.7
3,2026-09-06T00:49:02Z,KATL,2026-09-06,high,30,97.87,1.68,95.66,97.65,100.21,94.7,100.8
4,2026-09-06T00:49:02Z,KATL,2026-09-06,low,30,76.69,0.65,75.8,76.8,77.4,75.2,77.7
5,2026-09-06T00:49:02Z,KATL,2026-09-07,high,30,86.06,3.16,82.65,86.1,89.62,80.0,95.3
6,2026-09-06T00:49:02Z,KATL,2026-09-07,low,30,73.98,0.74,72.99,74.05,75.0,72.6,75.1
7,2026-09-06T00:49:02Z,KAUS,2026-09-05,high,30,99.02,1.22,97.51,99.1,100.36,96.5,101.5
8,2026-09-06T00:49:02Z,KAUS,2026-09-05,low,30,77.79,0.3,77.4,77.8,78.22,77.3,78.4
9,2026-09-06T00:49:02Z,KAUS,2026-09-06,high,30,96.05,1.37,94.23,96.15,97.63,92.7,98.2
10,2026-09-06T00:49:02Z,KAUS,2026-09-06,low,30,79.73,0.48,79.19,79.65,80.25,79.0,80.9
11,2026-09-06T00:49:02Z,KAUS,2026-09-07,high,30,97.0,1.64,94.96,97.05,99.21,93.4,99.4
12,2026-09-06T00:49:02Z,KAUS,2026-09-07,low,30,80.27,0.8,79.08,80.45,81.31,78.6,81.5
13,2026-09-06T00:49:02Z,KBOS,2026-09-05,high,30,71.49,0.96,70.0,71.7,72.6,68.9,72.9
14,2026-09-06T00:49:02Z,KBOS,2026-09-05,low,30,63.58,0.64,62.7,63.65,64.6,62.4,64.7
15,2026-09-06T00:49:02Z,KBOS,2026-09-06,high,30,68.84,1.48,67.12,68.7,71.0,66.0,71.6
16,2026-09-06T00:49:02Z,KBOS,2026-09-06,low,30,59.48,1.01,58.19,59.5,60.52,57.7,62.2
17,2026-09-06T00:49:02Z,KBOS,2026-09-07,high,30,77.6,1.45,75.97,77.55,79.7,74.0,80.3
18,2026-09-06T00:49:02Z,KBOS,2026-09-07,low,30,59.69,1.03,58.37,59.6,61.01,57.8,61.9
91,2026-09-06T00:49:02Z,KDCA,2026-09-05,high,30,83.99,1.19,82.47,84.25,85.26,80.9,86.3
92,2026-09-06T00:49:02Z,KDCA,2026-09-05,low,30,71.9,0.79,70.8,71.75,72.92,70.7,73.4
93,2026-09-06T00:49:02Z,KDCA,2026-09-06,high,30,84.07,1.56,82.06,84.35,85.61,80.5,86.5
94,2026-09-06T00:49:02Z,KDCA,2026-09-06,low,30,68.15,0.87,66.98,68.35,69.0,66.2,69.3
95,2026-09-06T00:49:02Z,KDCA,2026-09-07,high,30,81.28,1.84,78.88,81.4,83.41,78.1,86.1
96,2026-09-06T00:49:02Z,KDCA,2026-09-07,low,30,65.2,0.86,64.18,65.4,66.33,63.0,66.8
25,2026-09-06T00:49:02Z,KDEN,2026-09-05,high,30,90.44,0.87,89.39,90.8,91.22,87.7,91.8
26,2026-09-06T00:49:02Z,KDEN,2026-09-05,low,30,67.37,0.28,67.0,67.5,67.7,66.6,67.9
27,2026-09-06T00:49:02Z,KDEN,2026-09-06,high,30,88.95,1.51,87.17,89.25,90.51,85.5,91.8
28,2026-09-06T00:49:02Z,KDEN,2026-09-06,low,30,66.57,1.57,64.5,66.7,68.3,63.3,69.0
29,2026-09-06T00:49:02Z,KDEN,2026-09-07,high,30,88.95,2.19,86.43,89.1,91.84,84.8,92.5
30,2026-09-06T00:49:02Z,KDEN,2026-09-07,low,30,69.46,1.59,67.8,70.0,71.11,64.8,72.4
19,2026-09-06T00:49:02Z,KDFW,2026-09-05,high,30,99.18,0.91,98.0,99.2,100.04,97.0,101.4
