id,run_at,icao,forecast_date,kind,n_members,mean_f,sd_f,p10_f,p50_f,p90_f,min_f,max_f
40,2026-07-17T01:05:31Z,KLAX,2026-07-17,low,30,71.62,0.33,71.2,71.7,71.91,70.8,72.4
41,2026-07-17T01:05:31Z,KLAX,2026-07-18,high,30,79.87,1.04,78.48,80.1,80.81,77.4,82.8
42,2026-07-17T01:05:31Z,KLAX,2026-07-18,low,30,71.31,0.58,70.6,71.15,71.83,70.4,73.3
43,2026-07-17T01:05:31Z,KMIA,2026-07-16,high,30,91.64,0.78,90.58,91.8,92.61,90.2,93.2
44,2026-07-17T01:05:31Z,KMIA,2026-07-16,low,30,83.63,0.26,83.4,83.6,83.91,82.7,84.1
45,2026-07-17T01:05:31Z,KMIA,2026-07-17,high,30,90.28,0.98,89.0,90.3,91.5,87.4,92.2
46,2026-07-17T01:05:31Z,KMIA,2026-07-17,low,30,83.22,0.3,83.0,83.2,83.61,82.3,83.8
47,2026-07-17T01:05:31Z,KMIA,2026-07-18,high,30,88.1,0.94,86.79,88.35,89.11,85.7,89.4
48,2026-07-17T01:05:31Z,KMIA,2026-07-18,low,30,82.73,0.47,82.18,82.9,83.2,81.4,83.5
49,2026-07-17T01:05:31Z,KMSP,2026-07-16,high,30,93.8,1.12,92.59,93.8,94.72,91.3,97.9
50,2026-07-17T01:05:31Z,KMSP,2026-07-16,low,30,70.88,0.98,69.9,70.7,72.11,69.4,73.9
51,2026-07-17T01:05:31Z,KMSP,2026-07-17,high,30,96.99,1.61,95.3,97.0,98.92,92.7,100.1
52,2026-07-17T01:05:31Z,KMSP,2026-07-17,low,30,75.4,0.39,75.0,75.3,76.0,74.6,76.3
53,2026-07-17T01:05:31Z,KMSP,2026-07-18,high,30,91.22,2.23,88.47,91.0,94.02,86.6,95.2
54,2026-07-17T01:05:31Z,KMSP,2026-07-18,low,30,72.89,2.0,70.08,72.6,76.2,69.7,76.9
55,2026-07-17T01:05:31Z,KNYC,2026-07-16,high,30,92.78,1.18,91.35,93.15,94.12,89.7,94.9
56,2026-07-17T01:05:31Z,KNYC,2026-07-16,low,30,77.29,0.24,77.0,77.3,77.51,76.7,77.9
57,2026-07-17T01:05:31Z,KNYC,2026-07-17,high,30,88.45,2.55,85.06,89.15,91.15,82.7,92.9
58,2026-07-17T01:05:31Z,KNYC,2026-07-17,low,30,74.13,0.86,73.34,74.3,74.82,71.9,76.1
59,2026-07-17T01:05:31Z,KNYC,2026-07-18,high,30,84.06,4.1,79.28,84.15,89.74,76.4,92.4
60,2026-07-17T01:05:31Z,KNYC,2026-07-18,low,30,73.86,1.52,72.33,74.2,75.82,69.8,77.1
61,2026-07-17T01:05:31Z,KOKC,2026-07-16,high,30,88.73,1.4,86.8,88.95,90.4,85.9,92.0
62,2026-07-17T01:05:31Z,KOKC,2026-07-16,low,30,68.96,0.4,68.48,69.1,69.41,68.2,69.6
63,2026-07-17T01:05:31Z,KOKC,2026-07-17,high,30,92.85,2.58,89.78,92.9,96.0,85.7,99.0
64,2026-07-17T01:05:31Z,KOKC,2026-07-17,low,30,73.85,0.77,72.79,73.85,74.9,72.3,75.3
65,2026-07-17T01:05:31Z,KOKC,2026-07-18,high,30,96.76,1.83,94.9,97.0,98.65,91.5,101.0
66,2026-07-17T01:05:31Z,KOKC,2026-07-18,low,30,76.84,1.17,75.65,76.45,78.62,74.9,78.8
67,2026-07-17T01:05:31Z,KPHL,2026-07-16,high,30,92.02,1.11,90.5,91.9,93.8,90.2,94.4
68,2026-07-17T01:05:31Z,KPHL,2026-07-16,low,30,73.75,0.48,73.0,73.75,74.41,72.7,74.7
69,2026-07-17T01:05:31Z,KPHL,2026-07-17,high,30,89.51,2.15,86.98,89.95,92.22,83.0,92.6
70,2026-07-17T01:05:31Z,KPHL,2026-07-17,low,30,70.64,1.1,69.17,70.95,71.9,67.7,72.5
71,2026-07-17T01:05:31Z,KPHL,2026-07-18,high,30,86.74,4.47,80.89,86.4,92.8,78.2,94.4
72,2026-07-17T01:05:31Z,KPHL,2026-07-18,low,30,68.75,1.46,66.49,69.0,70.72,65.0,71.7
73,2026-07-17T01:05:31Z,KSAT,2026-07-16,high,30,87.02,1.38,85.46,87.15,88.73,84.0,89.6
74,2026-07-17T01:05:31Z,KSAT,2026-07-16,low,30,73.15,0.53,72.6,73.1,73.9,71.7,74.0
75,2026-07-17T01:05:31Z,KSAT,2026-07-17,high,30,92.17,1.44,90.58,92.1,93.73,87.6,94.7
76,2026-07-17T01:05:31Z,KSAT,2026-07-17,low,30,74.15,0.52,73.58,74.15,74.7,73.0,75.4
77,2026-07-17T01:05:31Z,KSAT,2026-07-18,high,30,93.1,2.88,89.1,93.6,96.43,87.9,97.4
78,2026-07-17T01:05:31Z,KSAT,2026-07-18,low,30,74.99,0.64,74.2,74.95,75.82,74.0,76.3
85,2026-07-17T01:05:31Z,KSEA,2026-07-16,high,30,69.44,3.42,65.57,68.85,72.3,64.0,79.0
86,2026-07-17T01:05:31Z,KSEA,2026-07-16,low,30,56.14,0.59,55.3,56.05,56.81,55.1,57.7
87,2026-07-17T01:05:31Z,KSEA,2026-07-17,high,30,79.78,2.04,77.39,80.3,81.74,73.9,82.9
88,2026-07-17T01:05:31Z,KSEA,2026-07-17,low,30,54.21,1.23,53.06,54.2,55.51,51.4,57.1
89,2026-07-17T01:05:31Z,KSEA,2026-07-18,high,30,79.84,2.13,76.97,80.3,82.34,74.4,82.8
90,2026-07-17T01:05:31Z,KSEA,2026-07-18,low,30,55.04,0.64,54.4,55.0,55.71,53.9,57.4
79,2026-07-17T01:05:31Z,KSFO,2026-07-16,high,30,72.22,1.08,70.9,72.0,73.62,70.4,74.6
80,2026-07-17T01:05:31Z,KSFO,2026-07-16,low,30,56.74,0.35,56.2,56.75,57.3,56.1,57.5
81,2026-07-17T01:05:31Z,KSFO,2026-07-17,high,30,73.49,2.3,71.05,73.3,75.91,69.1,80.1
82,2026-07-17T01:05:31Z,KSFO,2026-07-17,low,30,56.53,0.71,56.0,56.3,57.06,55.7,58.8
83,2026-07-17T01:05:31Z,KSFO,2026-07-18,high,30,74.73,1.98,72.29,74.6,76.73,72.1,79.9
84,2026-07-17T01:05:31Z,KSFO,2026-07-18,low,30,56.69,0.59,56.3,56.55,56.9,56.1,59.4
