id,run_at,icao,forecast_date,model_name,high_f,low_f
1,2026-07-26T00:07:15Z,KATL,2026-07-25,gfs_seamless,86.3,74.1
2,2026-07-26T00:07:15Z,KATL,2026-07-26,gfs_seamless,89.6,71.5
3,2026-07-26T00:07:15Z,KATL,2026-07-27,gfs_seamless,97.0,76.1
4,2026-07-26T00:07:15Z,KATL,2026-07-25,icon_global,85.0,74.6
5,2026-07-26T00:07:15Z,KATL,2026-07-26,icon_global,92.6,73.4
6,2026-07-26T00:07:15Z,KATL,2026-07-27,icon_global,94.2,75.2
7,2026-07-26T00:07:15Z,KATL,2026-07-25,gem_global,83.9,71.6
8,2026-07-26T00:07:15Z,KATL,2026-07-26,gem_global,84.3,72.4
9,2026-07-26T00:07:15Z,KATL,2026-07-27,gem_global,87.8,69.4
10,2026-07-26T00:07:15Z,KATL,2026-07-25,ecmwf_ifs025,85.8,72.9
11,2026-07-26T00:07:15Z,KATL,2026-07-26,ecmwf_ifs025,88.1,71.8
12,2026-07-26T00:07:15Z,KATL,2026-07-27,ecmwf_ifs025,91.4,72.3
13,2026-07-26T00:07:15Z,KATL,2026-07-25,ukmo_global_deterministic_10km,83.6,73.7
14,2026-07-26T00:07:15Z,KATL,2026-07-26,ukmo_global_deterministic_10km,93.3,73.9
15,2026-07-26T00:07:15Z,KATL,2026-07-27,ukmo_global_deterministic_10km,94.2,76.6
16,2026-07-26T00:07:15Z,KAUS,2026-07-25,gfs_seamless,95.3,77.1
17,2026-07-26T00:07:15Z,KAUS,2026-07-26,gfs_seamless,96.5,75.1
18,2026-07-26T00:07:15Z,KAUS,2026-07-27,gfs_seamless,102.6,74.6
19,2026-07-26T00:07:15Z,KAUS,2026-07-25,icon_global,95.8,76.5
20,2026-07-26T00:07:15Z,KAUS,2026-07-26,icon_global,96.6,75.6
21,2026-07-26T00:07:15Z,KAUS,2026-07-27,icon_global,96.8,76.7
22,2026-07-26T00:07:15Z,KAUS,2026-07-25,gem_global,94.7,75.8
23,2026-07-26T00:07:15Z,KAUS,2026-07-26,gem_global,96.2,71.1
24,2026-07-26T00:07:15Z,KAUS,2026-07-27,gem_global,97.4,75.2
25,2026-07-26T00:07:15Z,KAUS,2026-07-25,ecmwf_ifs025,95.6,76.7
26,2026-07-26T00:07:15Z,KAUS,2026-07-26,ecmwf_ifs025,97.4,74.3
27,2026-07-26T00:07:15Z,KAUS,2026-07-27,ecmwf_ifs025,98.9,76.2
28,2026-07-26T00:07:15Z,KAUS,2026-07-25,ukmo_global_deterministic_10km,95.3,78.1
29,2026-07-26T00:07:15Z,KAUS,2026-07-26,ukmo_global_deterministic_10km,95.5,76.9
30,2026-07-26T00:07:15Z,KAUS,2026-07-27,ukmo_global_deterministic_10km,97.0,77.0
211,2026-07-26T00:07:15Z,KDCA,2026-07-25,gfs_seamless,83.3,66.8
212,2026-07-26T00:07:15Z,KDCA,2026-07-26,gfs_seamless,87.0,65.8
213,2026-07-26T00:07:15Z,KDCA,2026-07-27,gfs_seamless,89.1,67.1
214,2026-07-26T00:07:15Z,KDCA,2026-07-25,icon_global,82.4,69.3
215,2026-07-26T00:07:15Z,KDCA,2026-07-26,icon_global,85.2,68.8
216,2026-07-26T00:07:15Z,KDCA,2026-07-27,icon_global,87.9,72.2
217,2026-07-26T00:07:15Z,KDCA,2026-07-25,gem_global,81.7,67.6
218,2026-07-26T00:07:15Z,KDCA,2026-07-26,gem_global,84.5,63.7
219,2026-07-26T00:07:15Z,KDCA,2026-07-27,gem_global,87.6,68.9
220,2026-07-26T00:07:15Z,KDCA,2026-07-25,ecmwf_ifs025,85.8,66.3
