id,run_at,icao,forecast_date,model_name,high_f,low_f
1,2026-09-01T02:00:59Z,KATL,2026-08-31,gfs_seamless,93.8,73.5
2,2026-09-01T02:00:59Z,KATL,2026-09-01,gfs_seamless,95.8,75.1
3,2026-09-01T02:00:59Z,KATL,2026-09-02,gfs_seamless,97.7,75.8
4,2026-09-01T02:00:59Z,KATL,2026-08-31,icon_global,91.6,73.0
5,2026-09-01T02:00:59Z,KATL,2026-09-01,icon_global,94.4,72.7
6,2026-09-01T02:00:59Z,KATL,2026-09-02,icon_global,95.8,74.9
7,2026-09-01T02:00:59Z,KATL,2026-08-31,gem_global,90.3,71.4
8,2026-09-01T02:00:59Z,KATL,2026-09-01,gem_global,92.9,69.7
9,2026-09-01T02:00:59Z,KATL,2026-09-02,gem_global,92.9,73.1
10,2026-09-01T02:00:59Z,KATL,2026-08-31,ecmwf_ifs025,90.2,71.6
11,2026-09-01T02:00:59Z,KATL,2026-09-01,ecmwf_ifs025,93.8,73.0
12,2026-09-01T02:00:59Z,KATL,2026-09-02,ecmwf_ifs025,97.2,73.9
13,2026-09-01T02:00:59Z,KATL,2026-08-31,ukmo_global_deterministic_10km,89.3,73.5
14,2026-09-01T02:00:59Z,KATL,2026-09-01,ukmo_global_deterministic_10km,91.2,75.1
15,2026-09-01T02:00:59Z,KATL,2026-09-02,ukmo_global_deterministic_10km,93.3,78.6
16,2026-09-01T02:00:59Z,KAUS,2026-08-31,gfs_seamless,98.1,78.1
17,2026-09-01T02:00:59Z,KAUS,2026-09-01,gfs_seamless,96.3,79.0
18,2026-09-01T02:00:59Z,KAUS,2026-09-02,gfs_seamless,94.2,77.6
19,2026-09-01T02:00:59Z,KAUS,2026-08-31,icon_global,99.0,77.7
20,2026-09-01T02:00:59Z,KAUS,2026-09-01,icon_global,99.2,77.3
21,2026-09-01T02:00:59Z,KAUS,2026-09-02,icon_global,99.0,78.8
22,2026-09-01T02:00:59Z,KAUS,2026-08-31,gem_global,97.2,74.9
23,2026-09-01T02:00:59Z,KAUS,2026-09-01,gem_global,98.1,75.3
24,2026-09-01T02:00:59Z,KAUS,2026-09-02,gem_global,98.6,76.6
25,2026-09-01T02:00:59Z,KAUS,2026-08-31,ecmwf_ifs025,97.1,77.4
26,2026-09-01T02:00:59Z,KAUS,2026-09-01,ecmwf_ifs025,99.1,77.4
27,2026-09-01T02:00:59Z,KAUS,2026-09-02,ecmwf_ifs025,100.3,77.3
28,2026-09-01T02:00:59Z,KAUS,2026-08-31,ukmo_global_deterministic_10km,97.1,77.9
29,2026-09-01T02:00:59Z,KAUS,2026-09-01,ukmo_global_deterministic_10km,97.8,78.4
30,2026-09-01T02:00:59Z,KAUS,2026-09-02,ukmo_global_deterministic_10km,95.9,80.3
31,2026-09-01T02:00:59Z,KBOS,2026-08-31,gfs_seamless,71.9,61.4
32,2026-09-01T02:00:59Z,KBOS,2026-09-01,gfs_seamless,71.9,64.1
33,2026-09-01T02:00:59Z,KBOS,2026-09-02,gfs_seamless,71.7,63.0
34,2026-09-01T02:00:59Z,KBOS,2026-08-31,icon_global,72.0,63.0
35,2026-09-01T02:00:59Z,KBOS,2026-09-01,icon_global,68.9,64.0
36,2026-09-01T02:00:59Z,KBOS,2026-09-02,icon_global,73.1,64.6
37,2026-09-01T02:00:59Z,KBOS,2026-08-31,gem_global,72.7,65.7
38,2026-09-01T02:00:59Z,KBOS,2026-09-01,gem_global,68.5,61.3
39,2026-09-01T02:00:59Z,KBOS,2026-09-02,gem_global,67.2,62.8
40,2026-09-01T02:00:59Z,KBOS,2026-08-31,ecmwf_ifs025,76.3,65.0
41,2026-09-01T02:00:59Z,KBOS,2026-09-01,ecmwf_ifs025,72.0,60.7
42,2026-09-01T02:00:59Z,KBOS,2026-09-02,ecmwf_ifs025,70.9,60.9
43,2026-09-01T02:00:59Z,KBOS,2026-08-31,ukmo_global_deterministic_10km,73.8,64.2
